2025-02-26 02:06:57 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 02:06:57 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 1730
2025-02-26 02:06:57 | ERROR | ERREUR | SERVICE | Erreur : strptime() argument 1 must be str, not None
2025-02-26 02:08:17 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 02:08:17 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 1730
2025-02-26 02:08:20 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 02:08:20 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 1730
2025-02-26 02:08:23 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 02:08:23 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 1730
2025-02-26 02:08:27 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 02:08:27 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 1730
2025-02-26 02:08:30 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 02:08:30 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 1730
2025-02-26 02:08:30 | ERROR | ERREUR | SERVICE | Erreur : strptime() argument 1 must be str, not None
2025-02-26 13:59:53 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 819
2025-02-26 13:59:53 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 819
2025-02-26 13:59:57 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 13:59:57 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 819
2025-02-26 14:00:00 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:00:00 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 819
2025-02-26 14:00:04 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:00:04 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 819
2025-02-26 14:00:08 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:00:08 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 819
2025-02-26 14:00:08 | ERROR | ERREUR | SERVICE | Erreur : strptime() argument 1 must be str, not None
2025-02-26 14:05:15 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 947
2025-02-26 14:05:15 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 14:05:24 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:05:24 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 14:05:34 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:05:34 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 14:05:43 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:05:44 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 14:05:53 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:05:53 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 947
2025-02-26 14:05:53 | ERROR | ERREUR | SERVICE | Erreur : strptime() argument 1 must be str, not None
2025-02-26 14:19:26 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 935
2025-02-26 14:19:26 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 935
2025-02-26 14:19:31 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
2025-02-26 14:19:31 | INFO | MAIN | UNITELEGALE_UPDATE | Lignes affectées: 935
2025-02-26 14:19:37 | INFO | STAGING | INSERT_UNITELEGALE | Lignes affectées: 0
